"gpu","method","size","threads","blocks","max_value", "time"
TITAN RTX,radix,100000000,128,96,-1,2580.669434
TITAN RTX,radix,10,128,192,-1,0.524288
TITAN RTX,radix,100,128,192,-1,0.528032
TITAN RTX,radix,1000,128,192,-1,0.546336
TITAN RTX,radix,10000,128,192,-1,0.731520
TITAN RTX,radix,100000,128,192,-1,2.733376
TITAN RTX,radix,1000000,128,192,-1,21.898399
TITAN RTX,radix,10000000,128,192,-1,255.163040
TITAN RTX,radix,100000000,128,192,-1,2453.645752
TITAN RTX,radix,10,256,1,-1,0.512576
TITAN RTX,radix,100,256,1,-1,0.685952
TITAN RTX,radix,1000,256,1,-1,0.538624
TITAN RTX,radix,10000,256,1,-1,0.766112
TITAN RTX,radix,100000,256,1,-1,3.130560
TITAN RTX,radix,1000000,256,1,-1,26.156193
TITAN RTX,radix,10000000,256,1,-1,309.095093
TITAN RTX,radix,100000000,256,1,-1,2903.152832
TITAN RTX,radix,10,256,4,-1,0.472352
TITAN RTX,radix,100,256,4,-1,0.475136
TITAN RTX,radix,1000,256,4,-1,0.493568
TITAN RTX,radix,10000,256,4,-1,0.708512
TITAN RTX,radix,100000,256,4,-1,2.800064
TITAN RTX,radix,1000000,256,4,-1,22.556641
TITAN RTX,radix,10000000,256,4,-1,268.405670
TITAN RTX,radix,100000000,256,4,-1,2605.873535
TITAN RTX,radix,10,1024,1,-1,0.516928
TITAN RTX,radix,100,1024,1,-1,0.524480
TITAN RTX,radix,1000,1024,1,-1,0.539872
TITAN RTX,radix,10000,1024,1,-1,0.746080
TITAN RTX,radix,100000,1024,1,-1,2.892064
TITAN RTX,radix,1000000,1024,1,-1,24.538719
TITAN RTX,radix,10000000,1024,1,-1,277.183289
TITAN RTX,radix,100000000,1024,1,-1,2696.335449
TITAN RTX,radix,10,1024,4,-1,0.495360
TITAN RTX,radix,100,1024,4,-1,0.663872
TITAN RTX,radix,1000,1024,4,-1,0.508960
TITAN RTX,radix,10000,1024,4,-1,0.705696
TITAN RTX,radix,100000,1024,4,-1,2.787104
TITAN RTX,radix,1000000,1024,4,-1,22.880863
TITAN RTX,radix,10000000,1024,4,-1,262.204010
TITAN RTX,radix,100000000,1024,4,-1,2594.300537
TITAN RTX,radix,10,1024,192,-1,0.548864
TITAN RTX,radix,100,1024,192,-1,0.551712
TITAN RTX,radix,1000,1024,192,-1,0.759392
TITAN RTX,radix,10000,1024,192,-1,0.778080
TITAN RTX,radix,100000,1024,192,-1,2.780064
TITAN RTX,radix,1000000,1024,192,-1,23.743488
TITAN RTX,radix,10000000,1024,192,-1,260.460175
TITAN RTX,radix,100000000,1024,192,-1,2453.861328
TITAN RTX,counting,10,16,16,2,0.099232
TITAN RTX,counting,10,16,16,16,0.125184
TITAN RTX,counting,10,16,16,64,0.147392
TITAN RTX,counting,10,16,16,256,0.165056
TITAN RTX,counting,100,16,16,2,0.129792
TITAN RTX,counting,100,16,16,16,0.135808
TITAN RTX,counting,100,16,16,64,0.194112
TITAN RTX,counting,100,16,16,256,0.167104
TITAN RTX,counting,1000,16,16,2,0.103968
TITAN RTX,counting,1000,16,16,16,0.128736
TITAN RTX,counting,1000,16,16,64,0.149216
TITAN RTX,counting,1000,16,16,256,0.168224
TITAN RTX,counting,10000,16,16,2,0.133312
TITAN RTX,counting,10000,16,16,16,0.162816
TITAN RTX,counting,10000,16,16,64,0.179392
TITAN RTX,counting,10000,16,16,256,0.208800
TITAN RTX,counting,100000,16,16,2,0.530272
TITAN RTX,counting,100000,16,16,16,0.551840
TITAN RTX,counting,100000,16,16,64,0.587744
TITAN RTX,counting,100000,16,16,256,0.705696
TITAN RTX,counting,1000000,16,16,2,4.730464
TITAN RTX,counting,1000000,16,16,16,5.166816
TITAN RTX,counting,1000000,16,16,64,4.766304
TITAN RTX,counting,1000000,16,16,256,5.075904
TITAN RTX,counting,10000000,16,16,2,56.173088
TITAN RTX,counting,10000000,16,16,16,56.024960
TITAN RTX,counting,10000000,16,16,64,58.148735
TITAN RTX,counting,10000000,16,16,256,57.122944
TITAN RTX,counting,100000000,16,16,2,516.063049
TITAN RTX,counting,100000000,16,16,16,470.327484
TITAN RTX,counting,100000000,16,16,64,479.083435
TITAN RTX,counting,100000000,16,16,256,482.025330
TITAN RTX,counting,10,32,8,2,0.091744
TITAN RTX,counting,10,32,8,16,0.120032
TITAN RTX,counting,10,32,8,64,0.137696
TITAN RTX,counting,10,32,8,256,0.153088
TITAN RTX,counting,100,32,8,2,0.097760
TITAN RTX,counting,100,32,8,16,0.122528
TITAN RTX,counting,100,32,8,64,0.133984
TITAN RTX,counting,100,32,8,256,0.152480
TITAN RTX,counting,1000,32,8,2,0.098304
TITAN RTX,counting,1000,32,8,16,0.122496
TITAN RTX,counting,1000,32,8,64,0.141184
TITAN RTX,counting,1000,32,8,256,0.167072
TITAN RTX,counting,10000,32,8,2,0.135520
TITAN RTX,counting,10000,32,8,16,0.163392
TITAN RTX,counting,10000,32,8,64,0.189664
TITAN RTX,counting,10000,32,8,256,0.205120
TITAN RTX,counting,100000,32,8,2,0.615392
TITAN RTX,counting,100000,32,8,16,0.555232
TITAN RTX,counting,100000,32,8,64,0.588800
TITAN RTX,counting,100000,32,8,256,0.613792
TITAN RTX,counting,1000000,32,8,2,4.762112
TITAN RTX,counting,1000000,32,8,16,4.765792
TITAN RTX,counting,1000000,32,8,64,4.870592
TITAN RTX,counting,1000000,32,8,256,4.954944
TITAN RTX,counting,10000000,32,8,2,57.265282
TITAN RTX,counting,10000000,32,8,16,56.804222
TITAN RTX,counting,10000000,32,8,64,59.312832
TITAN RTX,counting,10000000,32,8,256,58.988224
TITAN RTX,counting,100000000,32,8,2,529.443298
TITAN RTX,counting,100000000,32,8,16,479.068634
TITAN RTX,counting,100000000,32,8,64,487.892365
TITAN RTX,counting,100000000,32,8,256,493.715149
TITAN RTX,counting,10,64,16,2,0.097888
TITAN RTX,counting,10,64,16,16,0.118208
TITAN RTX,counting,10,64,16,64,0.138560
TITAN RTX,counting,10,64,16,256,0.152416
TITAN RTX,counting,10,64,16,1024,0.176160
TITAN RTX,counting,100,64,16,2,0.096256
TITAN RTX,counting,100,64,16,16,0.117696
TITAN RTX,counting,100,64,16,64,0.138336
TITAN RTX,counting,100,64,16,256,0.170400
TITAN RTX,counting,100,64,16,1024,0.170432
TITAN RTX,counting,1000,64,16,2,0.094784
TITAN RTX,counting,1000,64,16,16,0.126752
TITAN RTX,counting,1000,64,16,64,0.149536
TITAN RTX,counting,1000,64,16,256,0.166656
TITAN RTX,counting,1000,64,16,1024,0.185856
TITAN RTX,counting,10000,64,16,2,0.119904
TITAN RTX,counting,10000,64,16,16,0.144800
TITAN RTX,counting,10000,64,16,64,0.165728
TITAN RTX,counting,10000,64,16,256,0.182560
TITAN RTX,counting,10000,64,16,1024,0.200544
TITAN RTX,counting,100000,64,16,2,0.394336
TITAN RTX,counting,100000,64,16,16,0.390848
TITAN RTX,counting,100000,64,16,64,0.407712
TITAN RTX,counting,100000,64,16,256,0.432928
TITAN RTX,counting,100000,64,16,1024,0.445664
TITAN RTX,counting,1000000,64,16,2,3.111712
TITAN RTX,counting,1000000,64,16,16,2.832768
TITAN RTX,counting,1000000,64,16,64,2.886784
TITAN RTX,counting,1000000,64,16,256,2.923648
TITAN RTX,counting,1000000,64,16,1024,2.931744
TITAN RTX,counting,10000000,64,16,2,32.957630
TITAN RTX,counting,10000000,64,16,16,30.723137
TITAN RTX,counting,10000000,64,16,64,31.063776
TITAN RTX,counting,10000000,64,16,256,31.312351
TITAN RTX,counting,10000000,64,16,1024,31.216415
TITAN RTX,counting,100000000,64,16,2,324.321228
TITAN RTX,counting,100000000,64,16,16,280.707458
TITAN RTX,counting,100000000,64,16,64,280.983826
TITAN RTX,counting,100000000,64,16,256,282.128418
TITAN RTX,counting,100000000,64,16,1024,281.922546
TITAN RTX,counting,10,128,8,2,0.095200
TITAN RTX,counting,10,128,8,16,0.119712
TITAN RTX,counting,10,128,8,64,0.182304
TITAN RTX,counting,10,128,8,256,0.149344
TITAN RTX,counting,10,128,8,1024,0.217312
TITAN RTX,counting,100,128,8,2,0.092352
TITAN RTX,counting,100,128,8,16,0.123264
TITAN RTX,counting,100,128,8,64,0.139072
TITAN RTX,counting,100,128,8,256,0.156352
TITAN RTX,counting,100,128,8,1024,0.172352
TITAN RTX,counting,1000,128,8,2,0.100864
TITAN RTX,counting,1000,128,8,16,0.127392
TITAN RTX,counting,1000,128,8,64,0.146208
TITAN RTX,counting,1000,128,8,256,0.161280
TITAN RTX,counting,1000,128,8,1024,0.182272
TITAN RTX,counting,10000,128,8,2,0.121184
TITAN RTX,counting,10000,128,8,16,0.146240
TITAN RTX,counting,10000,128,8,64,0.164288
TITAN RTX,counting,10000,128,8,256,0.184768
TITAN RTX,counting,10000,128,8,1024,0.199776
TITAN RTX,counting,100000,128,8,2,0.393824
TITAN RTX,counting,100000,128,8,16,0.460992
TITAN RTX,counting,100000,128,8,64,0.411936
TITAN RTX,counting,100000,128,8,256,0.438752
TITAN RTX,counting,100000,128,8,1024,0.451168
TITAN RTX,counting,1000000,128,8,2,3.175712
TITAN RTX,counting,1000000,128,8,16,2.836576
TITAN RTX,counting,1000000,128,8,64,2.906976
TITAN RTX,counting,1000000,128,8,256,2.940384
TITAN RTX,counting,1000000,128,8,1024,3.033504
TITAN RTX,counting,10000000,128,8,2,33.409439
TITAN RTX,counting,10000000,128,8,16,30.897408
TITAN RTX,counting,10000000,128,8,64,31.507616
TITAN RTX,counting,10000000,128,8,256,31.368769
TITAN RTX,counting,10000000,128,8,1024,31.315329
TITAN RTX,counting,100000000,128,8,2,330.512115
TITAN RTX,counting,100000000,128,8,16,278.101746
TITAN RTX,counting,100000000,128,8,64,286.059479
TITAN RTX,counting,100000000,128,8,256,283.846863
TITAN RTX,counting,100000000,128,8,1024,283.984802
TITAN RTX,counting,10,128,96,2,0.124640
TITAN RTX,counting,10,128,96,16,0.121824
TITAN RTX,counting,10,128,96,64,0.140544
TITAN RTX,counting,10,128,96,256,0.162496
TITAN RTX,counting,10,128,96,1024,0.185120
TITAN RTX,counting,100,128,96,2,0.097440
TITAN RTX,counting,100,128,96,16,0.127104
TITAN RTX,counting,100,128,96,64,0.150048
TITAN RTX,counting,100,128,96,256,0.164928
TITAN RTX,counting,100,128,96,1024,0.189952
TITAN RTX,counting,1000,128,96,2,0.100160
TITAN RTX,counting,1000,128,96,16,0.125440
TITAN RTX,counting,1000,128,96,64,0.192128
TITAN RTX,counting,1000,128,96,256,0.172480
TITAN RTX,counting,1000,128,96,1024,0.183104
TITAN RTX,counting,10000,128,96,2,0.120832
TITAN RTX,counting,10000,128,96,16,0.141824
TITAN RTX,counting,10000,128,96,64,0.168416
TITAN RTX,counting,10000,128,96,256,0.181632
TITAN RTX,counting,10000,128,96,1024,0.200000
TITAN RTX,counting,100000,128,96,2,0.363904
TITAN RTX,counting,100000,128,96,16,0.354816
TITAN RTX,counting,100000,128,96,64,0.392096
TITAN RTX,counting,100000,128,96,256,0.400224
TITAN RTX,counting,100000,128,96,1024,0.394912
TITAN RTX,counting,1000000,128,96,2,2.956032
TITAN RTX,counting,1000000,128,96,16,2.496064
TITAN RTX,counting,1000000,128,96,64,2.634944
TITAN RTX,counting,1000000,128,96,256,2.598464
TITAN RTX,counting,1000000,128,96,1024,2.418496
TITAN RTX,counting,10000000,128,96,2,30.341728
TITAN RTX,counting,10000000,128,96,16,25.308832
TITAN RTX,counting,10000000,128,96,64,26.565664
TITAN RTX,counting,10000000,128,96,256,26.175455
TITAN RTX,counting,10000000,128,96,1024,23.903776
TITAN RTX,counting,100000000,128,96,2,295.326019
TITAN RTX,counting,100000000,128,96,16,241.727966
TITAN RTX,counting,100000000,128,96,64,257.929718
TITAN RTX,counting,100000000,128,96,256,257.829987
TITAN RTX,counting,100000000,128,96,1024,231.914886
TITAN RTX,counting,10,128,192,2,0.094592
TITAN RTX,counting,10,128,192,16,0.125408
TITAN RTX,counting,10,128,192,64,0.147904
TITAN RTX,counting,10,128,192,256,0.167104
TITAN RTX,counting,10,128,192,1024,0.192128
TITAN RTX,counting,100,128,192,2,0.100192
TITAN RTX,counting,100,128,192,16,0.128480
TITAN RTX,counting,100,128,192,64,0.144896
TITAN RTX,counting,100,128,192,256,0.171008
TITAN RTX,counting,100,128,192,1024,0.187776
TITAN RTX,counting,1000,128,192,2,0.100800
TITAN RTX,counting,1000,128,192,16,0.128064
TITAN RTX,counting,1000,128,192,64,0.150752
TITAN RTX,counting,1000,128,192,256,0.215776
TITAN RTX,counting,1000,128,192,1024,0.196384
TITAN RTX,counting,10000,128,192,2,0.121120
TITAN RTX,counting,10000,128,192,16,0.141632
TITAN RTX,counting,10000,128,192,64,0.210624
TITAN RTX,counting,10000,128,192,256,0.182560
TITAN RTX,counting,10000,128,192,1024,0.200608
TITAN RTX,counting,100000,128,192,2,0.371648
TITAN RTX,counting,100000,128,192,16,0.369536
TITAN RTX,counting,100000,128,192,64,0.396800
TITAN RTX,counting,100000,128,192,256,0.509120
TITAN RTX,counting,100000,128,192,1024,0.405248
TITAN RTX,counting,1000000,128,192,2,2.946592
TITAN RTX,counting,1000000,128,192,16,2.480864
TITAN RTX,counting,1000000,128,192,64,2.637984
TITAN RTX,counting,1000000,128,192,256,2.622720
TITAN RTX,counting,1000000,128,192,1024,2.397856
TITAN RTX,counting,10000000,128,192,2,30.169249
TITAN RTX,counting,10000000,128,192,16,25.496288
TITAN RTX,counting,10000000,128,192,64,26.706017
TITAN RTX,counting,10000000,128,192,256,26.367744
TITAN RTX,counting,10000000,128,192,1024,23.919424
TITAN RTX,counting,100000000,128,192,2,296.227295
TITAN RTX,counting,100000000,128,192,16,238.038910
TITAN RTX,counting,100000000,128,192,64,259.697479
TITAN RTX,counting,100000000,128,192,256,256.405884
TITAN RTX,counting,100000000,128,192,1024,231.502533
TITAN RTX,counting,10,256,1,2,0.100032
TITAN RTX,counting,10,256,1,16,0.133920
TITAN RTX,counting,10,256,1,64,0.155488
TITAN RTX,counting,10,256,1,256,0.164128
TITAN RTX,counting,100,256,1,2,0.098208
TITAN RTX,counting,100,256,1,16,0.129056
TITAN RTX,counting,100,256,1,64,0.147808
TITAN RTX,counting,100,256,1,256,0.168320
TITAN RTX,counting,1000,256,1,2,0.102912
TITAN RTX,counting,1000,256,1,16,0.130656
TITAN RTX,counting,1000,256,1,64,0.154112
TITAN RTX,counting,1000,256,1,256,0.165664
TITAN RTX,counting,10000,256,1,2,0.133728
TITAN RTX,counting,10000,256,1,16,0.162560
TITAN RTX,counting,10000,256,1,64,0.190720
TITAN RTX,counting,10000,256,1,256,0.205408
TITAN RTX,counting,100000,256,1,2,0.555936
TITAN RTX,counting,100000,256,1,16,0.575392
TITAN RTX,counting,100000,256,1,64,0.613504
TITAN RTX,counting,100000,256,1,256,0.670048
TITAN RTX,counting,1000000,256,1,2,5.020064
TITAN RTX,counting,1000000,256,1,16,4.824992
TITAN RTX,counting,1000000,256,1,64,5.115872
TITAN RTX,counting,1000000,256,1,256,5.472832
TITAN RTX,counting,10000000,256,1,2,59.464672
TITAN RTX,counting,10000000,256,1,16,57.838783
TITAN RTX,counting,10000000,256,1,64,61.318752
TITAN RTX,counting,10000000,256,1,256,64.283875
TITAN RTX,counting,100000000,256,1,2,527.894653
TITAN RTX,counting,100000000,256,1,16,491.495331
TITAN RTX,counting,100000000,256,1,64,515.590149
TITAN RTX,counting,100000000,256,1,256,539.176025
TITAN RTX,counting,10,256,4,2,0.094176
TITAN RTX,counting,10,256,4,16,0.119328
TITAN RTX,counting,10,256,4,64,0.138304
TITAN RTX,counting,10,256,4,256,0.159040
TITAN RTX,counting,10,256,4,1024,0.228416
TITAN RTX,counting,100,256,4,2,0.094624
TITAN RTX,counting,100,256,4,16,0.119712
TITAN RTX,counting,100,256,4,64,0.141312
TITAN RTX,counting,100,256,4,256,0.155616
TITAN RTX,counting,100,256,4,1024,0.168448
TITAN RTX,counting,1000,256,4,2,0.096064
TITAN RTX,counting,1000,256,4,16,0.127008
TITAN RTX,counting,1000,256,4,64,0.189664
TITAN RTX,counting,1000,256,4,256,0.366944
TITAN RTX,counting,1000,256,4,1024,0.182784
TITAN RTX,counting,10000,256,4,2,0.149952
TITAN RTX,counting,10000,256,4,16,0.143584
TITAN RTX,counting,10000,256,4,64,0.166496
TITAN RTX,counting,10000,256,4,256,0.181376
TITAN RTX,counting,10000,256,4,1024,0.254368
TITAN RTX,counting,100000,256,4,2,0.466080
TITAN RTX,counting,100000,256,4,16,0.387648
TITAN RTX,counting,100000,256,4,64,0.420192
TITAN RTX,counting,100000,256,4,256,0.436160
TITAN RTX,counting,100000,256,4,1024,0.472416
TITAN RTX,counting,1000000,256,4,2,3.148704
TITAN RTX,counting,1000000,256,4,16,2.864512
TITAN RTX,counting,1000000,256,4,64,2.925952
TITAN RTX,counting,1000000,256,4,256,3.037216
TITAN RTX,counting,1000000,256,4,1024,3.096512
TITAN RTX,counting,10000000,256,4,2,33.360321
TITAN RTX,counting,10000000,256,4,16,31.208544
TITAN RTX,counting,10000000,256,4,64,32.168415
TITAN RTX,counting,10000000,256,4,256,32.684158
TITAN RTX,counting,10000000,256,4,1024,33.104225
TITAN RTX,counting,100000000,256,4,2,325.432709
TITAN RTX,counting,100000000,256,4,16,284.096771
TITAN RTX,counting,100000000,256,4,64,289.200470
TITAN RTX,counting,100000000,256,4,256,295.044067
TITAN RTX,counting,100000000,256,4,1024,297.631042
TITAN RTX,counting,10,1024,1,2,0.094368
TITAN RTX,counting,10,1024,1,16,0.122112
TITAN RTX,counting,10,1024,1,64,0.139232
TITAN RTX,counting,10,1024,1,256,0.154784
TITAN RTX,counting,10,1024,1,1024,0.173696
TITAN RTX,counting,100,1024,1,2,0.093536
TITAN RTX,counting,100,1024,1,16,0.122208
TITAN RTX,counting,100,1024,1,64,0.134176
TITAN RTX,counting,100,1024,1,256,0.152224
TITAN RTX,counting,100,1024,1,1024,0.176544
TITAN RTX,counting,1000,1024,1,2,0.096416
TITAN RTX,counting,1000,1024,1,16,0.131552
TITAN RTX,counting,1000,1024,1,64,0.146528
TITAN RTX,counting,1000,1024,1,256,0.165568
TITAN RTX,counting,1000,1024,1,1024,0.190080
TITAN RTX,counting,10000,1024,1,2,0.126176
TITAN RTX,counting,10000,1024,1,16,0.151328
TITAN RTX,counting,10000,1024,1,64,0.177728
TITAN RTX,counting,10000,1024,1,256,0.199328
TITAN RTX,counting,10000,1024,1,1024,0.224096
TITAN RTX,counting,100000,1024,1,2,0.469632
TITAN RTX,counting,100000,1024,1,16,0.435840
TITAN RTX,counting,100000,1024,1,64,0.519712
TITAN RTX,counting,100000,1024,1,256,0.599968
TITAN RTX,counting,100000,1024,1,1024,0.674464
TITAN RTX,counting,1000000,1024,1,2,4.001760
TITAN RTX,counting,1000000,1024,1,16,3.249280
TITAN RTX,counting,1000000,1024,1,64,3.993440
TITAN RTX,counting,1000000,1024,1,256,4.596064
TITAN RTX,counting,1000000,1024,1,1024,5.015552
TITAN RTX,counting,10000000,1024,1,2,41.537857
TITAN RTX,counting,10000000,1024,1,16,33.824898
TITAN RTX,counting,10000000,1024,1,64,41.719585
TITAN RTX,counting,10000000,1024,1,256,47.346146
TITAN RTX,counting,10000000,1024,1,1024,51.976578
TITAN RTX,counting,100000000,1024,1,2,403.662689
TITAN RTX,counting,100000000,1024,1,16,305.642944
TITAN RTX,counting,100000000,1024,1,64,352.297974
TITAN RTX,counting,100000000,1024,1,256,392.649048
TITAN RTX,counting,100000000,1024,1,1024,420.320648
TITAN RTX,counting,10,1024,4,2,0.096832
TITAN RTX,counting,10,1024,4,16,0.118272
TITAN RTX,counting,10,1024,4,64,0.140064
TITAN RTX,counting,10,1024,4,256,0.154304
TITAN RTX,counting,10,1024,4,1024,0.172128
TITAN RTX,counting,100,1024,4,2,0.094304
TITAN RTX,counting,100,1024,4,16,0.123904
TITAN RTX,counting,100,1024,4,64,0.136480
TITAN RTX,counting,100,1024,4,256,0.154400
TITAN RTX,counting,100,1024,4,1024,0.171680
TITAN RTX,counting,1000,1024,4,2,0.097792
TITAN RTX,counting,1000,1024,4,16,0.128064
TITAN RTX,counting,1000,1024,4,64,0.150688
TITAN RTX,counting,1000,1024,4,256,0.169024
TITAN RTX,counting,1000,1024,4,1024,0.238048
TITAN RTX,counting,10000,1024,4,2,0.119776
TITAN RTX,counting,10000,1024,4,16,0.142752
TITAN RTX,counting,10000,1024,4,64,0.210720
TITAN RTX,counting,10000,1024,4,256,0.182336
TITAN RTX,counting,10000,1024,4,1024,0.211456
TITAN RTX,counting,100000,1024,4,2,0.379584
TITAN RTX,counting,100000,1024,4,16,0.350112
TITAN RTX,counting,100000,1024,4,64,0.385120
TITAN RTX,counting,100000,1024,4,256,0.437472
TITAN RTX,counting,100000,1024,4,1024,0.444608
TITAN RTX,counting,1000000,1024,4,2,3.042784
TITAN RTX,counting,1000000,1024,4,16,2.516160
TITAN RTX,counting,1000000,1024,4,64,2.670464
TITAN RTX,counting,1000000,1024,4,256,2.816480
TITAN RTX,counting,1000000,1024,4,1024,2.940960
TITAN RTX,counting,10000000,1024,4,2,31.081280
TITAN RTX,counting,10000000,1024,4,16,26.030560
TITAN RTX,counting,10000000,1024,4,64,27.091328
TITAN RTX,counting,10000000,1024,4,256,28.660448
TITAN RTX,counting,10000000,1024,4,1024,29.676384
TITAN RTX,counting,100000000,1024,4,2,304.457642
TITAN RTX,counting,100000000,1024,4,16,241.415909
TITAN RTX,counting,100000000,1024,4,64,266.613800
TITAN RTX,counting,100000000,1024,4,256,263.783630
TITAN RTX,counting,100000000,1024,4,1024,264.096008
TITAN RTX,counting,10,1024,192,2,0.098624
TITAN RTX,counting,10,1024,192,16,0.125632
TITAN RTX,counting,10,1024,192,64,0.141568
TITAN RTX,counting,10,1024,192,256,0.162144
TITAN RTX,counting,10,1024,192,1024,0.171904
TITAN RTX,counting,100,1024,192,2,0.096800
TITAN RTX,counting,100,1024,192,16,0.125536
TITAN RTX,counting,100,1024,192,64,0.138784
TITAN RTX,counting,100,1024,192,256,0.162432
TITAN RTX,counting,100,1024,192,1024,0.178400
TITAN RTX,counting,1000,1024,192,2,0.100192
TITAN RTX,counting,1000,1024,192,16,0.134976
TITAN RTX,counting,1000,1024,192,64,0.155712
TITAN RTX,counting,1000,1024,192,256,0.171616
TITAN RTX,counting,1000,1024,192,1024,0.194912
TITAN RTX,counting,10000,1024,192,2,0.121312
TITAN RTX,counting,10000,1024,192,16,0.153600
TITAN RTX,counting,10000,1024,192,64,0.170784
TITAN RTX,counting,10000,1024,192,256,0.189920
TITAN RTX,counting,10000,1024,192,1024,0.205472
TITAN RTX,counting,100000,1024,192,2,0.375584
TITAN RTX,counting,100000,1024,192,16,0.364000
TITAN RTX,counting,100000,1024,192,64,0.392960
TITAN RTX,counting,100000,1024,192,256,0.408640
TITAN RTX,counting,100000,1024,192,1024,0.419904
TITAN RTX,counting,1000000,1024,192,2,2.958528
TITAN RTX,counting,1000000,1024,192,16,2.539936
TITAN RTX,counting,1000000,1024,192,64,2.643232
TITAN RTX,counting,1000000,1024,192,256,2.612800
TITAN RTX,counting,1000000,1024,192,1024,2.384512
TITAN RTX,counting,10000000,1024,192,2,29.832191
TITAN RTX,counting,10000000,1024,192,16,25.483809
TITAN RTX,counting,10000000,1024,192,64,26.505856
TITAN RTX,counting,10000000,1024,192,256,26.191072
TITAN RTX,counting,10000000,1024,192,1024,23.983040
TITAN RTX,counting,100000000,1024,192,2,295.508698
TITAN RTX,counting,100000000,1024,192,16,247.472641
TITAN RTX,counting,100000000,1024,192,64,260.435028
TITAN RTX,counting,100000000,1024,192,256,252.111450
TITAN RTX,counting,100000000,1024,192,1024,227.899170
TITAN RTX,bitonic,16,16,16,-1,0.064416
TITAN RTX,bitonic,128,16,16,-1,0.114144
TITAN RTX,bitonic,1024,16,16,-1,0.566752
TITAN RTX,bitonic,16384,16,16,-1,14.685760
TITAN RTX,bitonic,131072,16,16,-1,157.036636
TITAN RTX,bitonic,1048576,16,16,-1,1124.319824
TITAN RTX,bitonic,16777216,16,16,-1,37831.503906
TITAN RTX,bitonic,16,32,8,-1,0.066208
TITAN RTX,bitonic,128,32,8,-1,0.111264
TITAN RTX,bitonic,1024,32,8,-1,0.437760
TITAN RTX,bitonic,16384,32,8,-1,9.611264
TITAN RTX,bitonic,131072,32,8,-1,100.954819
TITAN RTX,bitonic,1048576,32,8,-1,1020.817139
TITAN RTX,bitonic,16777216,32,8,-1,29533.355469
TITAN RTX,bitonic,16,64,16,-1,0.061760
TITAN RTX,bitonic,128,64,16,-1,0.113312
TITAN RTX,bitonic,1024,64,16,-1,0.267072
TITAN RTX,bitonic,16384,64,16,-1,4.554240
TITAN RTX,bitonic,131072,64,16,-1,48.371201
TITAN RTX,bitonic,1048576,64,16,-1,492.791107
TITAN RTX,bitonic,16777216,64,16,-1,16097.472656
TITAN RTX,bitonic,16,128,8,-1,0.062528
TITAN RTX,bitonic,128,128,8,-1,0.108928
TITAN RTX,bitonic,1024,128,8,-1,0.215392
TITAN RTX,bitonic,16384,128,8,-1,2.913696
TITAN RTX,bitonic,131072,128,8,-1,30.077375
TITAN RTX,bitonic,1048576,128,8,-1,304.176422
TITAN RTX,bitonic,16777216,128,8,-1,9660.332031
TITAN RTX,bitonic,16,128,96,-1,0.061408
TITAN RTX,bitonic,128,128,96,-1,0.110272
TITAN RTX,bitonic,1024,128,96,-1,0.180352
TITAN RTX,bitonic,16384,128,96,-1,1.606592
TITAN RTX,bitonic,131072,128,96,-1,16.403681
TITAN RTX,bitonic,1048576,128,96,-1,169.472702
