"gpu","method","size","threads","blocks","max_value", "time"
TITAN RTX,radix,10,16,16,-1,0.519616
TITAN RTX,radix,100,16,16,-1,0.515616
TITAN RTX,radix,1000,16,16,-1,0.542720
TITAN RTX,radix,10000,16,16,-1,0.761408
TITAN RTX,radix,100000,16,16,-1,3.084000
TITAN RTX,radix,1000000,16,16,-1,26.038849
TITAN RTX,radix,10000000,16,16,-1,307.987610
TITAN RTX,radix,100000000,16,16,-1,2904.496094
TITAN RTX,radix,10,32,8,-1,0.475776
TITAN RTX,radix,100,32,8,-1,0.477184
TITAN RTX,radix,1000,32,8,-1,0.493568
TITAN RTX,radix,10000,32,8,-1,0.704512
TITAN RTX,radix,100000,32,8,-1,2.858496
TITAN RTX,radix,1000000,32,8,-1,24.751904
TITAN RTX,radix,10000000,32,8,-1,305.064270
TITAN RTX,radix,100000000,32,8,-1,2933.674072
TITAN RTX,radix,10,64,16,-1,0.471040
TITAN RTX,radix,100,64,16,-1,0.493280
TITAN RTX,radix,1000,64,16,-1,0.492768
TITAN RTX,radix,10000,64,16,-1,0.687136
TITAN RTX,radix,100000,64,16,-1,2.837760
TITAN RTX,radix,1000000,64,16,-1,22.792896
TITAN RTX,radix,10000000,64,16,-1,268.289062
TITAN RTX,radix,100000000,64,16,-1,2577.317871
TITAN RTX,radix,10,128,8,-1,0.514880
TITAN RTX,radix,100,128,8,-1,0.521664
TITAN RTX,radix,1000,128,8,-1,0.534688
TITAN RTX,radix,10000,128,8,-1,0.727584
TITAN RTX,radix,100000,128,8,-1,2.870464
TITAN RTX,radix,1000000,128,8,-1,23.567616
TITAN RTX,radix,10000000,128,8,-1,265.174530
TITAN RTX,radix,100000000,128,8,-1,2576.167480
TITAN RTX,radix,10,128,96,-1,0.516832
TITAN RTX,radix,100,128,96,-1,0.519456
TITAN RTX,radix,1000,128,96,-1,0.540672
TITAN RTX,radix,10000,128,96,-1,0.745472
TITAN RTX,radix,100000,128,96,-1,2.703040
TITAN RTX,radix,1000000,128,96,-1,23.237921
TITAN RTX,radix,10000000,128,96,-1,255.738266
